gene_id	gene_name	class	Huisinga_class
YLR276C	DBP9	TFIID	TFIID-dominated
YER012W	PRE1	TFIID	TFIID-dominated
YPL212C	PUS1	TFIID	TFIID-dominated
YKL184W	SPE1	TFIID	TFIID-dominated
YMR230W	RPS10B	TFIID	TFIID-dominated
YDL029W	ARP2	CR	TFIID-dominated
YLR447C	VMA6	TFIID	TFIID-dominated
YNL024C-A	KSH1	TFIID	
YJR117W	STE24	TFIID	TFIID-dominated
YPL249C-A	RPL36B	TFIID	
YKL057C	NUP120	TFIID	TFIID-dominated
YLR257W	YLR257W	TFIID	SAGA-dominated
YOR039W	CKB2	TFIID	TFIID-dominated
YDR346C	SVF1	TFIID	TFIID-dominated
YPL043W	NOP4	TFIID	TFIID-dominated
YOR360C	PDE2	TFIID	TFIID-dominated
